Participant,GoodBad,Angle1,Angle2,Angle3,Angle4
1,1,71.6104,69.2272,56.6798,54.6892
1,1,70.7449,68.1349,58.9609,63.2146
1,1,69.0029,67.2081,63.0592,76.7283
1,1,68.0908,67.301,65.0793,87.3817
1,1,67.3983,68.0208,67.5662,102.8006
1,1,66.1933,68.3906,70.9424,113.4122
1,1,64.4359,69.2836,75.4863,125.5391
1,1,63.5449,69.5677,78.0783,130.7363
1,1,62.7327,69.5935,80.9042,134.4811
1,1,62.4485,70.01,82.2458,137.7985
1,1,62.5202,69.898,83.0887,140.2916
1,1,62.4283,69.9761,83.5862,142.6265
1,1,61.58,69.736,85.7121,145.1288
1,1,60.9728,69.1068,87.0157,144.8463
1,1,60.7552,68.331,86.4512,145.2906
1,1,60.9573,67.5331,85.9075,146.207
1,1,60.7819,67.1248,86.176,145.4312
1,1,60.742,67.292,85.9888,144.5448
1,1,60.9237,67.1436,85.5109,143.2985
1,1,61.1072,66.6787,84.9442,138.1197
1,1,61.1545,65.898,84.7445,129.2784
1,1,61.6313,65.9764,83.7912,116.9371
1,1,62.4003,66.2521,82.2155,105.261
1,1,63.4952,66.7901,79.9155,88.7984
1,1,64.5376,69.1343,77.5944,72.5297
1,1,65.7551,70.7834,74.7882,63.6432
1,1,67.6259,71.3956,70.1129,54.2592
1,1,69.4582,73.3557,65.4932,44.4665
1,1,71.8828,78.6595,60.3656,29.3203
1,1,73.5619,84.4792,57.0155,17.4421
1,1,77.0557,93.9473,50.8217,19.7971
1,1,78.9514,94.2732,47.5246,20.1098
1,1,77.7872,89.54,48.1072,17.7958
1,1,79.6564,91.6148,44.6272,18.0434
1,1,82.935,93.7505,39.7668,18.8411
1,1,82.716,91.5042,39.3349,17.1726
1,1,81.6579,91.2603,40.086,16.8237
1,1,82.209,92.1278,38.6633,17.0302
1,1,82.573,90.9804,37.3234,16.2238
1,1,81.9272,90.6997,37.8583,15.832
1,1,81.7952,90.8972,37.7504,15.5278
1,1,82.5973,90.5447,36.3773,14.855
1,1,82.5965,89.0526,35.672,13.5824
1,1,82.2513,88.2537,35.5373,12.7498
1,1,82.4903,87.8424,34.4552,11.8876
1,1,82.2607,86.6436,33.6337,11.2758
1,1,81.4338,85.4134,33.9905,11.5118
1,1,81.0189,84.3121,33.2406,11.3222
1,1,81.0087,83.5305,32.1588,10.9894
1,1,80.4131,82.0718,31.4744,11.8042
1,1,80.0658,80.5777,30.7458,12.8562
1,1,79.1242,78.9048,29.821,13.2301
1,1,77.9587,77.8533,29.5215,13.163
1,1,76.8394,76.4658,29.4028,13.712
1,1,75.6221,74.7708,29.126,15.126
1,1,74.5098,73.023,28.7442,16.8831
1,1,72.85,71.1789,29.1867,18.5279
1,1,71.118,69.5517,29.8883,20.3098
1,1,68.8178,66.4352,31.3075,24.4635
1,1,64.3681,62.6035,35.2958,28.2622
1,1,60.9536,59.8918,37.9225,28.7399
1,1,59.6985,57.6223,37.8196,30.2705
1,1,58.675,55.984,37.4195,31.942
1,1,56.4218,54.138,38.5837,34.7492
1,1,53.9017,52.253,40.1767,36.6471
1,1,52.4106,50.8964,41.0913,38.1617
1,1,50.8702,49.3034,41.8322,40.045
1,1,48.5295,48.1665,43.817,41.5013
1,1,46.0755,46.8509,46.1073,43.2542
1,1,44.7349,45.6008,47.0881,44.9347
1,1,43.5194,44.3863,47.9593,46.4447
1,1,41.5406,42.2997,49.4799,48.664
1,1,40.0137,40.1927,50.7316,50.7465
1,1,38.8553,37.8336,51.6918,52.7703
1,1,37.3288,35.3263,53.0072,54.9451
1,1,35.7297,33.0767,54.3067,56.8799
1,1,34.5873,30.9255,55.0004,59.0856
1,1,34.0085,29.6709,55.4143,60.3615
1,1,33.3537,27.9691,55.7788,62.2001
1,1,32.8878,26.2925,56.2193,63.8917
1,1,31.3834,24.9473,57.4998,65.3798
1,1,29.2798,23.4669,59.1538,67.0969
1,1,28.3599,21.9013,59.9427,68.6919
1,1,27.846,19.7539,60.6935,70.8589
1,1,26.9711,16.8161,61.7175,73.5835
1,1,25.9225,14.4421,62.6358,75.7265
1,1,24.8287,12.5867,63.5997,77.1782
1,1,24.6301,11.6477,63.9417,77.6472
1,1,24.9804,10.5769,64.2901,78.1167
1,1,24.875,9.7912,64.823,78.3819
1,1,24.0822,9.442,65.6538,78.6198
1,1,22.7026,9.2509,66.987,78.8733
1,1,22.0021,9.0361,67.7063,79.0328
1,1,21.36,8.6794,68.4124,79.1626
1,1,20.7027,8.6856,69.063,79.161
1,1,19.7998,8.7595,70.1782,79.1852
1,2,12.039,10.4467,75.223,79.6559
1,2,11.865,7.0682,73.659,78.8383
1,2,11.8721,7.1331,73.6577,78.7927
1,2,11.8219,7.1751,73.7021,78.7533
1,2,11.7592,7.2807,73.7355,78.6641
1,2,11.7229,7.5654,73.735,78.5398
1,2,11.7666,7.9042,73.6867,78.3879
