personNum,Stage,Angle1,Angle2,Angle3,Angle4,Angle5
1,1,7.273406,165.9579,140.9092,5.362533,8.827237
1,1,7.637048,165.2324,138.9552,5.638298,9.293077
1,1,7.916461,164.489,137.1986,5.930256,9.718062
1,1,8.192565,163.6875,135.3232,6.225543,10.161188
1,1,8.473452,162.8786,133.3394,6.778125,10.616726
1,1,8.71981,162.058,131.3862,7.255634,11.038329
1,1,8.945403,161.2028,129.4492,7.580485,11.427719
1,1,9.148965,160.1117,127.2222,7.902067,11.810125
1,1,9.302525,158.6912,124.8083,8.237997,12.184258
1,1,9.438568,156.772,122.4373,8.592126,12.469193
1,1,9.537267,153.5206,119.6971,8.952691,12.652265
1,1,9.554976,149.5181,117.0935,9.279934,12.850836
1,1,9.471082,145.9462,115.4482,9.593474,13.013095
1,1,9.345819,141.6699,113.1048,9.841569,13.129757
1,1,9.30432,137.5591,110.5029,10.146757,13.215104
1,1,9.318419,133.4218,107.9793,10.439465,13.287793
1,1,9.35181,128.657,105.2248,10.725649,13.363877
1,1,9.418826,124.6948,102.7951,11.047797,13.438745
1,1,9.506548,120.607,100.2779,11.306567,13.48866
1,1,9.601852,116.9432,98.0714,11.59029,13.534221
1,1,9.775273,113.4481,96.0297,11.923388,13.582395
1,1,9.976301,110.1202,94.1824,12.291655,13.643222
1,1,10.161169,106.6938,92.4116,12.665058,13.732843
